high_rebels_desc;상대 초강대국 영향권에서의 적극적 유격전 선동은 해당 초강대국들을 불안정하게 만들어 우리나라에 우호적인 정부를 수립할 가능성을 높일 수 있습니다. 내전을 일으킬 위험성도 있으며 심지어 그 나라의 분쟁의 세계화를 더욱 악화할 위험이 있습니다.;Active Guerilla instigation in rivial Superpower Sphere. This can destabilise those nations and make it more likely for a favourable government to be installed in those nations. There is a risk of causing a civil war and even worse a globalisation of the conflict in the country.;;;;;;;;x
low_rebels_desc;상대 초강대국 영향권에서의 소극적 유격전 선동은 해당 초강대국들을 불안정하게 만들어 우리나라에 우호적인 정부를 수립할 가능성을 높일 수 있습니다. 내전을 일으킬 위험성도 있으며 심지어 그 나라의 분쟁의 세계화를 더욱 악화할 위험이 있습니다.;Passive Guerilla instigation in rivial Superpower Sphere. This can destabilise those nations and make it more likely for a favourable government to be installed in those nations. There is a risk of causing a civil war and even worse a globalisation of the conflict in the country.;;;;;;;;x
theme_parks;주요 상업 관광지;Major Commercialised Tourist Attractions;;;;;;;;x
theme_parks_title;수도에 주요 상업 관광지 설립;Establish Major International Commercialised Tourist Attractions in our capital;;;;;;;;x
theme_parks_desc;유니버설 스튜디오, 디즈니랜드, 그리고 레고 월드와 같은 유명한 관광명소를 들여놓는 것은 수도의 관광 다양성을 극적으로 증가시킵니다. 이렇게 늘어난 선택권은 도시를 관광객들에게 더 매력적으로 만듭니다.;Letting in big name tourist attractions such as Universal Studios, Disneyland and Lego World can dramatically increase the attraction diversity in our capital. This increased options can make our city more attractive to tourists, boosting long term tourist numbers inexchange for a high start up cost to entice those attractions to set up in our capital.;;;;;;;;x
EVTDESC1412014;어제 한 남성이 심한 인플루엔자 증세를 보여 동네 병원에 입원했습니다. 의사들이 환자를 검사한 결과 환자가 새로운 바이러스 변종을 앓고 있다는 사실을 발견했습니다. 이 새로운 바이러스의 위험성을 확인하기 위해 바이러스학에 대한 추가 조사가 필요합니다.;A man was admitted yesterday in a local hospital with severe influenza symptoms. The Doctors did a check on the patient and discovered that the patient was carrying a new virus strain. Further investigations into its virology is required to ascertain the danger of this new virus.;;;;;;;;x
EVTDESC1412015;최근에 발견된 바이러스는 분명히 전염성이 강한 것으로 보입니다. $COUNTRY$의 다른 도시에서도 사람들이 바이러스에 감염되는 사례가 증가하고 있기 때문입니다.;The recently discovered virus is apparently quite contagious as there have been a rising number of cases of people being infected with the virus in other cities around $COUNTRY$.;;;;;;;;x
EVTDESC1412016;최근에 발견된 바이러스는 전국 각지로 퍼졌고, 감염자의 수가 매우 높은 수준으로 증가했으며 바이러스로 인한 사망자도 역시 증가했습니다. 사람들이 바이러스 감염에 대한 두려움에 대처하려 노력하고 있는 가운데 거리에서는 대혼란이 일어나고 있습니다.;The recently discovered virus has spread to all parts of the country and has caused the number of infected to rise to extremely high levels and the deaths from the Virus to rise too. There is mass pandemonium on the streets as people are trying to cope with the fear of contracting the virus.;;;;;;;;x
EVTDESC1412017;인접국에서 새로운 바이러스가 창궐하고 있습니다. 높은 근접성으로 인해 해당 바이러스에 감염된 한 시민이 국내에 들어왔고, 결국 국민들에게도 퍼지게 됐습니다.;A neighbouring country is currently experiencing a new virus outbreak and due to our proximity, a citizen of that nation infected with the virus has managed to enter our country and has spread it to our local populace.;;;;;;;;x
EVTDESC1412018;인접국에서 새로운 바이러스가 창궐하고 있습니다. 세계적인 상호연관성으로 인해 해당 바이러스에 감염된 한 시민이 국내에 들어오면서, 결국 국민들에게도 퍼지게 됐습니다.;A neighbouring country is currently experiencing a new virus outbreak and due to the interconnectedness of the world, a citizen of that nation infected with the virus has managed to enter our country and spread it to our local populace.;;;;;;;;x
EVTDESC1410110;보통 일본 언론에서 지하철 사린사건으로 언급하는 도쿄 지하철 사린가스 공격은 1995년 3월 20일 일본 도쿄에서 사이비종교인 옴진리교 회원들이 자행한 테러 행위입니다. 범인들은 출근 시간 동안 현재의 도쿄 지하철의 세 줄에 사린을 놓아 12명을 사망시키는 동시에 50명에게 중상을 입혔으며 거의 5,000명의 다른 사람들에게 일시적인 시력 문제를 야기했습니다. 이번 공격은 일본 정부의 본거지인 가쓰미가세키와 나가타쵸를 지나는 열차를 겨냥한 것입니다. 2001년 9월 1일 묘조 56호 건물 화재도 일본에서 일어난 치명적인 사건입니다.;The Tokyo subway sarin attack, usually referred to in the Japanese media as the Subway Sarin Incident, was an act of domestic terrorism perpetrated on March 20, 1995, in Tokyo, Japan, by members of the cult movement Aum Shinrikyo. In five coordinated attacks, the perpetrators released sarin on three lines of the present-day Tokyo Metro (then part of the Tokyo subway) during the rush hour, killing 12 people, severely injuring 50 and causing temporary vision problems for nearly 5,000 others. The attack was directed against trains passing through Kasumigaseki and Nagatacho, home to the Japanese government. Until the Myojo 56 building fire on September 1, 2001, it was the deadliest incident to occur in Japan since the end of World War II.;;;;;;;;x
polar_base;극지방 연구기지 건설;Established a Polar Research Base;;;;;;;;x
polar_military_base;극지방 군사기지 건설;Established a Polar Military Base;;;;;;;;x
polar_expedition_underway;극지방 탐험 중;Polar Expedition Underway;;;;;;;;x
polar_expedition_title;극지방 탐험대 파견;Commission a Polar Expedition into our Polar Territories;;;;;;;;x
polar_expedition_desc;극지방 탐험은 특히 남북극점에의 도달을 목표로 지구의 극지인 남북극을 각각 탐험하는 과정입니다. 이러한 과정은 역사적으로 탐험가들이나 극지방 탐험가들이 썰매를 타고 해냈습니다. 더 최근에는 특히 위성사진을 통해 탐험을 이루냈습니다. 이러한 탐사는 많은 유용한 과학적 자료를 산출합니다.;Polar exploration is the process of exploration of the polar regions of the Earth - the Arctic region and Antarctica - particularly with the goal of reaching the North Pole and South Pole, respectively. Historically, this was accomplished by explorers making often arduous travels on foot or by sled in these regions, known as a polar expedition. More recently, exploration has been accomplished with technology, particularly with satellite imagery. Such exploration can yield a lot of useful scientific data.;;;;;;;;x
polar_research_base_title;극지방 연구기지 건설;Establish a Polar Research Base;;;;;;;;x
polar_research_base_desc;지구가 어떻게 움직이는지, 특히 지구가 점점 증가하는 인간의 압력에 어떻게 반응하는지를 이해하는 것은 과학적으로 큰 도전입니다. 지구의 체계 내에서 극지방은 지리적으로 멀리 떨어져 있지만 서로 특별한 관련이 있습니다. 남북극의 해수얼음덮개와 남극과 그린란드 대륙빙하는 기후체계의 중요한 일부분입니다. 극지 환경과 생태는 지구 변화에 대한 민감한 지표를 제공합니다. 남극의 퇴적물과 얼음의 중심은 우리에게 미래의 기후를 예측하는데 도움을 주는 과거 기후의 역사를 말해줍니다. 세계적으로 중요한 연구를 위한 기회를 포착하는 것은 모두에게 영향을 미치는 환경에 대해 더 많은 것을 가르쳐 줄 것입니다.;Understanding how the Earth works, and in particular how it is responding to ever-increasing human pressures, is one of science뭩 greatest challenges. Within the Earth system, the Polar Regions, although geographically remote, are of special relevance. Antarctic and Arctic sea-ice cover and the great Antarctic and Greenland ice sheets are important parts of the climate system. The polar environment and ecology provides a sensitive indicator of global change. Antarctic sediments and ice cores tell us about the history of past climate, which can help us predict the climate of the future. Seizing these opportunities for globally important research will teach us more about the environmental processes that affect everyone.;;;;;;;;x
